id,title,author,publisher,publication_year,category,isbn,quantity
3137,Supply Chain Management,John T. Mentzer,Pearson / Prentice Hall,2001    ,Economics and Business,978-0761921110,14
3138,Auditing Fundamentals in a South African Context,Pieter von Wielligh,Oxford University Press,2019    ,Economics and Business,978-0199042616,14
3139,Marketing places,Philip Kotler,Free Press,1993    ,Economics and Business,978-0029175965,12
3140,When your money fails,Mary Stewart Relfe,Word Publishing,1981    ,Economics and Business,978-0938342007,8
3141,Production/operations management,William J. Stevenson,McGraw-Hill,1982    ,Economics and Business,978-0073377841,2
3142,The historic Thames,Hilaire Belloc,J.M. Dent / Library of Alexandria,1900    ,Economics and Business,978-1108051781,13
3143,Rich dad's Before you quit your job,Robert T. Kiyosaki,Warner Books / Plata Publishing,2006    ,Economics and Business,978-1612680583,20
3144,Perencanaan pembangunan,Bintoro Tjokroamidjojo,LP3ES (Indonesia),1977    ,Economics and Business,978-9793330655,12
3145,understanding business,William G. Nickels,McGraw-Hill,1999    ,Economics and Business,978-1259929458,20
3146,Walkable city,Jeff Speck,North Point Press,2012    ,Economics and Business,978-0865477728,2
3147,Time on the cross,Robert William Fogel,"Little, Brown / Norton",1974    ,Economics and Business,978-0393312188,3
3148,Marxism,Thomas Sowell,Oxford University Press,1985    ,Economics and Business,978-1138531772,10
3149,"La era de la información, Vol. 1",Manuel Castells,Alianza Editorial / Blackwell,1996    ,Economics and Business,978-8420677002,11
3150,Analytical Development Economics,Kaushik Basu,MIT Press,1997    ,Economics and Business,978-0262523455,5
3151,The most important thing,Howard Marks,Columbia Business School Publishing,2011    ,Economics and Business,978-0231153683,14
3152,Major Companies of Europe 2006: German (Major Companies of Europe: Vol. 3: Germany),Không rõ,Graham & Whiteside,2005    ,Economics and Business,978-1860994388,10
3153,"Money, sex & power",Richard J. Foster,Macmillan / Longman,1985    ,Economics and Business,978-0340375839,18
3154,Agricultural Relief,United States. Congress. House. Committee on Agriculture,Yale University Press,1971    ,Economics and Business,978-1236566416,11
3155,Design Thinking Research,Hasso Plattner,Springer,2012    ,Economics and Business,978-3642215322,8
3156,Getting started in chart patterns,Thomas N. Bulkowski,Wiley,2006    ,Economics and Business,978-1118859209,14
3157,Speeches,Fidel Castro,Penguin Classics / Oxford (tùy tác giả),1965    ,Economics and Business,978-1920888923,2
3158,Capital and Ideology,Thomas Piketty,Belknap Press (Harvard University Press),2010    ,Economics and Business,978-0674980822,4
3159,Marx para principiantes,Rius,Era / Writers & Readers,1972    ,Economics and Business,978-9505118748,16
3160,Foodservice organizations,Marian C. Spears,Pearson / Prentice Hall,1985    ,Economics and Business,978-0131140653,15
3161,The power of less,Leo Babauta,Hyperion,2009    ,Economics and Business,978-1401309701,5
3162,Bargaining for advantage,G. Richard Shell,Penguin Books,1999    ,Economics and Business,978-0143036982,11
3163,Distant neighbors,Alan Riding,Knopf / Vintage,1985    ,Economics and Business,978-0679727415,15
3164,Ethics and the conduct of business,John Raymond Boatright,Pearson,1993    ,Economics and Business,978-0205053421,11
3165,Man with a past,Jayne Ann Krentz,Harlequin / Silhouette,1985    ,Economics and Business,978-0373441587,6
3166,You can't teach a kid to ride a bike at a seminar,David H. Sandler,McGraw-Hill,1995    ,Economics and Business,978-0967179308,9
3167,On becoming a leader,Warren G. Bennis,Basic Books,1989    ,Economics and Business,978-0465014088,16
3168,It's Your Ship,D. Michael Abrashoff,Warner Books,2002    ,Economics and Business,978-1455523023,15
3169,I-Series,Stephen Haag,McGraw-Hill,2001    ,Economics and Business,978-0072834314,8
3170,The overspent American,Juliet Schor,Basic Books,1998    ,Economics and Business,978-0465053308,13
3171,Die Gabe,Marcel Mauss,Suhrkamp / Fischer,1950    ,Economics and Business,978-3518283431,9
3172,Hazardous waste,United States. General Accounting Office,McGraw-Hill / CRC Press,1985    ,Economics and Business,978-1428935471,19
3173,Smart choices,"Hammond, John S.",Harvard Business Review Press,1998    ,Economics and Business,978-1633690578,20
3174,Irrational exuberance,Robert J. Shiller,Princeton University Press,2000    ,Economics and Business,978-0691173122,20
3175,Turn The Ship Around!,L. David Marquet,Portfolio / Penguin,2001    ,Economics and Business,978-1591846406,9
3176,The quest for value,G. Bennett Stewart,Harper Business,1991    ,Economics and Business,978-0887304903,11
3177,Accidental mistress,Susan Napier,Harlequin,2008    ,Economics and Business,978-0373121540,4
3178,Managing business ethics,Linda Klebe Treviño,Wiley,1995    ,Economics and Business,978-1119253457,7
3179,The Advantage,Patrick Lencioni,Jossey-Bass (Wiley),2012    ,Economics and Business,978-0470941515,11
3180,Think Like a Rocket Scientist,Ozan Varol,PublicAffairs,2020    ,Economics and Business,978-1541762596,5
3181,The Unsettling of America,Wendell Berry,Sierra Club Books / Counterpoint,1977    ,Economics and Business,978-1578051304,12
3182,Texas! Trilogy  (Texas! Chase / Texas! Lucky / Texas! Sage),Sandra Brown,Fanfare / Bantam,1991    ,Economics and Business,978-0770435882,15
3183,Basic marketing research,Naresh K. Malhotra,Cengage / South-Western,2001    ,Economics and Business,978-0136069546,4
3184,Modern working capital management,Frederick C. Scherr,Prentice Hall,1989    ,Economics and Business,978-0135985090,3
3185,1977 census of manufactures,United States. Bureau of the Census,US Bureau of the Census,1979    ,Economics and Business,978-1243169365,14
3186,Power and interdependence,Robert O. Keohane,Longman / Pearson,1977    ,Economics and Business,978-0205082919,7
3187,Ebay for dummies,Marsha Collier,For Dummies (Wiley),2000    ,Economics and Business,978-1119260196,18
3188,Economic theory and operations analysis,William J. Baumol,Prentice-Hall,1961    ,Economics and Business,978-0132271240,20
3189,Capitalism,Ayn Rand,Penguin / Oxford,1967    ,Economics and Business,978-0451147950,16
3190,Fundamentals of Financial Management,Eugene F. Brigham,Cengage / South-Western,2009    ,Economics and Business,978-1337095754,17
3191,Principles of Microeconomics,Dirk Mateer,Pearson / McGraw-Hill / Cengage,2013    ,Economics and Business,978-0393283181,4
3192,Whitefern,V. C. Andrews,Pocket Books,2016    ,Economics and Business,978-1501103247,7
3193,Majipoor Chronicles,Robert Silverberg,Arbor House / Gollancz,1982    ,Economics and Business,978-0060149499,7
3194,Let's Get Real or Let's Not Play,Mahan Khalsa,Portfolio / Penguin,1999    ,Economics and Business,978-1591842255,10
3195,Carpentry and building construction,John Louis Feirer,Glencoe/McGraw-Hill,1976    ,Economics and Business,978-0078227028,20
3196,Bright-sided,Barbara Ehrenreich,Metropolitan Books,2009    ,Economics and Business,978-0312658854,14
3197,Business and its environment,David P. Baron,Pearson / Prentice Hall,1993    ,Economics and Business,978-0132620550,9
3198,Das Kapital [1/3],Karl Marx,Verlag von Otto Meissner / Penguin,1872    ,Economics and Business,978-3868200348,9
3199,The Human Past,Christopher Scarre,Thames & Hudson,2005    ,Economics and Business,978-0500293355,2
3200,The end of ideology,Daniel Bell,Free Press / Harvard University Press,1960    ,Economics and Business,978-0674004269,3
3201,For the Win,Cory Doctorow,Wharton School Press,2010    ,Economics and Business,978-0765322166,4
3202,International financial management,Jeff Madura,McGraw-Hill / Pearson,1986    ,Economics and Business,978-1133947837,11
3203,Come Sundown,Nora Roberts,St. Martin's Press,1998    ,Economics and Business,978-1250123077,13
3204,Market Wizards,Jack D. Schwager,Wiley / HarperBusiness,2006    ,Economics and Business,978-1118273050,2
3205,Banker to the Poor,Muhammad Yunus,PublicAffairs,1998    ,Economics and Business,978-1586481988,18
3206,Jony Ive,Leander Kahney,Portfolio / Penguin,2013    ,Economics and Business,978-1591846178,18
3207,Giants of Enterprise,Richard S. Tedlow,Harper Business,2001    ,Economics and Business,978-0066620367,18
3208,Han shu,"Ban, Gu",Zhonghua Book Company / Yale University Press,1888    ,Economics and Business,978-7101003055,8
3209,The data warehouse toolkit,Ralph  Kimball,Wiley,1996    ,Economics and Business,978-1118530801,1
3210,Influencing with integrity,Genie Z. Laborde,Syntony Publishing,1983    ,Economics and Business,978-0831400644,20
3211,[Preservation of forests.],United States. Congress. Senate. Committee on Agriculture and Forestry,Government Printing Office / Various,1888    ,Economics and Business,978-1240167234,2
3212,Soccernomics,Simon Kuper,Nation Books,2009    ,Economics and Business,978-1568587516,7
3213,White trash,Nancy Isenberg,Viking / Penguin,2016    ,Economics and Business,978-0143129677,6
3214,Research methods for business students,Mark Saunders,Pearson,2006    ,Economics and Business,978-1292208787,12
3215,The David Icke Guide to the Global Conspiracy,David Icke,Bridge of Love,2007    ,Economics and Business,978-0953881062,19
3216,Imperialism [and] Social classes; two essays,Joseph Alois Schumpeter,Meridian Books,1951    ,Economics and Business,978-0870001000,19
3217,Public Speaking for Success,Dale Carnegie,TarcherPerigee,2005    ,Economics and Business,978-1585424924,16
3218,An economic history of modern Britain,John Clapham,Cambridge University Press,1926    ,Economics and Business,978-1108003445,5
3219,Hold the dream,Barbara Taylor Bradford,Barbara Taylor Bradford (HarperCollins),1625    ,Economics and Business,978-0007137589,18
3220,Millionaire Success Habits,Dean Graziosi,Hay House,2016    ,Economics and Business,978-1684192076,1
3221,Milady's skin care and cosmetic ingredients dictionary,Natalia Michalun,Milady (Cengage),1994    ,Economics and Business,978-1435439665,12
3222,Power and prosperity,Mancur Olson,Basic Books,2000    ,Economics and Business,978-0465051960,8
3223,All you need to know about the music business,Donald S. Passman,Simon & Schuster,1991    ,Economics and Business,978-1501104862,11
3224,Trader Vic-- methods of a Wall Street master,Victor Sperandeo,Wiley,1993    ,Economics and Business,978-0471348085,3
3225,The Strategy and Tactics of Pricing,Thomas T. Nagle,Routledge / Pearson,1987    ,Economics and Business,978-1138737501,13
3226,Село Степанчиково и его обитатели,Фёдор Михайлович Достоевский,Penguin Classics / (Các NXB Nga),1920    ,Economics and Business,978-0140441642,15
3227,Predictably irrational,Dan Ariely,HarperCollins,2008    ,Economics and Business,978-0061353246,5
3228,China trade law,China.,Sijthoff & Noordhoff,1909    ,Economics and Business,978-9028603400,17
3229,How Music Got Free,Stephen Witt,Viking / Penguin,2015    ,Economics and Business,978-0143108061,19
3230,Study and Investigation of the National Defense Program in Its Relation to Small Business,United States. Congress. House. Select Committee to Conduct a Study and Survey of the National Defense Program in Its Relation to Small Business of the United States.,U.S. Government Printing Office,1973    ,Economics and Business,nan,12
3231,Osnovnye voprosy marksizma,Georgiĭ Valentinovich Plekhanov,(Các NXB Nga / Progress Publishers),1908    ,Economics and Business,978-5519451994,12
3232,English for Careers,Leila R. Smith,Pearson / Prentice Hall,1977    ,Economics and Business,978-0131140943,7
3233,Collected Works of John Stuart Mill,John M. Robson,University of Toronto Press,1873    ,Economics and Business,978-0802052445,7
3234,Brandwashed,Martin Lindstrom,Crown Business / Kogan Page,2011    ,Economics and Business,978-0385531733,20
3235,Pushing up people,Art Williams,Parkhurst Brook,1984    ,Economics and Business,978-0385494298,2
3236,The end of work,Jeremy Rifkin,Tarcher / Putnam,1995    ,Economics and Business,978-0874778243,5
3237,Introduction to Caribbean politics,Cynthia Barrow-Giles,Ian Randle Publishers,2002    ,Economics and Business,978-9766370251,17
3238,Self-government in industry,G. D. H. (George Douglas Howard) Cole,G. Bell and Sons / Routledge,1917    ,Economics and Business,978-1108003421,4
3239,Open Secrets,Alice Munro,Knopf / Vintage (Alice Munro),1994    ,Economics and Business,978-0679755623,13
3240,The go-getter,Peter B. Kyne,Cosmopolitan Book Corp / Raven's Ridge,1921    ,Economics and Business,978-1603862660,6
3241,Encyclopedia of candlestick charts,Thomas N. Bulkowski,Wiley,2008    ,Economics and Business,978-0470182017,17
3242,Release It!,Michael T. Nygard,Pragmatic Bookshelf,2012    ,Economics and Business,978-1680502398,7
3243,Empires of the mind,Denis Waitley,William Morrow / Alfred A. Knopf,1995    ,Economics and Business,978-0688147631,20
3244,Stanlake's Introductory Economics,G.F. Stanlake,Longman,2000    ,Economics and Business,978-0582405486,12
3245,Finance,Erik Banks,Pearson / Wiley / McGraw-Hill,2006    ,Economics and Business,978-1138302303,13
3246,Book of Questions,Gregory Stock,Workman Publishing,1987    ,Economics and Business,978-0761177319,8
3247,Tribe of Mentors,Timothy Ferriss,Houghton Mifflin Harcourt,2017    ,Economics and Business,978-1328994967,16
3248,The common people,G. D. H. (George Douglas Howard) Cole,Methuen / Phoenix,1938    ,Economics and Business,978-0416410402,17
3249,"Hope'93, farewell to poverty",M. K. O. Abiola,Precision Press,1993    ,Economics and Business,978-9783165311,14
3250,The making of economic society,Robert L. Heilbroner,Pearson / Prentice Hall,1962    ,Economics and Business,978-0136003137,2
3251,Moral Issues in Business (Non-InfoTrac Version),William H. Shaw,Cengage Learning,1989    ,Economics and Business,978-1285874265,8
3252,Multilateral development assistance and the environment,Không rõ,World Bank Publications,1987    ,Economics and Business,nan,6
3253,Managing the Non-Profit Organization Low Price CD,Peter F. Drucker,HarperBusiness,1990    ,Economics and Business,978-0060851149,2
3254,Great by choice,Jim Collins,Harper Business,2011    ,Economics and Business,978-0062120991,7
3255,Oversubscribed,Daniel Priestley,Piatkus / Wiley,2015    ,Economics and Business,978-0857088253,6
3256,The Concept of Corporate Strategy (I Don't Know What This Means),Kenneth Richmond Andrews,Dow Jones-Irwin,1971    ,Economics and Business,978-0256030365,8
3257,ACCOUNTING FOR NON-ACCOUNTANTS,Wayne A. Label,Sourcebooks,2006    ,Economics and Business,978-1402273056,12
3258,Kokoro,Lafcadio Hearn,Penguin Classics / Tuttle Publishing,1896    ,Economics and Business,978-0140445510,2
3259,Culture's consequences,Geert H. Hofstede,SAGE Publications,1980    ,Economics and Business,978-0803914445,17
3260,Flapper,Joshua Zeitz,Crown,2006    ,Economics and Business,978-1400080830,19
3261,"eWork and eBusiness in Architecture, Engineering and Construction",Manuel Martinez,CRC Press / Taylor & Francis,2004    ,Economics and Business,978-0415359382,9
3262,Business model generation,Alexander Osterwalder,Wiley,2010    ,Economics and Business,978-0470876411,11
3263,Setting the Table,Danny Meyer,HarperCollins,2006    ,Economics and Business,978-0060742317,16
3264,The Media Handbook,Helen Katz,Routledge,2003    ,Economics and Business,978-1138243385,11
3265,Nothing is true and everything is possible,Peter Pomerantsev,PublicAffairs / Faber & Faber,2012    ,Economics and Business,978-1610396004,12
3266,The Smartest Guys in the Room,Bethany McLean,Portfolio / Penguin,2003    ,Economics and Business,978-1591846604,5
3267,The Practice of Godliness,Jerry Bridges,NavPress,1983    ,Economics and Business,978-1631465970,13
3268,Protecting your #1 asset,Michael A. Lechter,Warner Books,2001    ,Economics and Business,978-0446678391,2
3269,When money dies,Adam Fergusson,PublicAffairs / Old Street Publishing,1975    ,Economics and Business,978-1586489946,20
3270,Sum of Us,Heather McGhee,One World,2021    ,Economics and Business,978-0525509561,8
3271,Deep Medicine,Eric J. Topol,Basic Books,2019    ,Economics and Business,978-1541644632,14
3272,Adam Smith Review,Fonna Forman,Routledge,2016    ,Economics and Business,978-1138221871,5
3273,My year in Iraq,L. Paul Bremer,Simon & Schuster,2006    ,Economics and Business,978-1416525653,16
3274,The richest man in Babylon,Robert B. Goodman,George S. Clason (various),1974    ,Economics and Business,978-1453664711,20
3275,The wealth and poverty of nations,David S. Landes,W. W. Norton & Company,1998    ,Economics and Business,978-0393318883,3
3276,Die Lage der arbeitenden Klasse in England,Friedrich Engels,Dietz Verlag / Oxford,1845    ,Economics and Business,978-0140444315,5
3277,Dig Your Well Before You're Thirsty,Harvey Mackay,Currency / Doubleday,1997    ,Economics and Business,978-0385485463,1
3278,Financial management and policy,James C. Van Horne,Prentice Hall,1968    ,Economics and Business,978-0130326577,9
3279,Tao of Coaching,Max Landsberg,Profile Books,1996    ,Economics and Business,978-1583331774,10
3280,Rules of Work,Richard Templar,Pearson,2003    ,Economics and Business,978-1292088020,1
3281,Human relations,Andrew J. DuBrin,McGraw-Hill / Pearson,1978    ,Economics and Business,978-0133506822,8
3282,"Hey, Whipple, squeeze this",Luke Sullivan,Wiley,2008    ,Economics and Business,978-1119164005,10
3283,Communicating for Results,Cheryl Hamilton,Oxford / Cengage,1982    ,Economics and Business,978-1305280267,18
3284,Rich dad's the business school,Robert T. Kiyosaki,Plata Publishing,2001    ,Economics and Business,978-1612680118,9
3285,Pastured Poultry Profits,Joel Salatin,Polyface,1993    ,Economics and Business,978-0963810908,19
3286,Nomadland,Jessica Bruder,W. W. Norton & Company,2017    ,Economics and Business,978-0393356311,19
3287,The decision book,Mikael Krogerus,W. W. Norton & Company,2011    ,Economics and Business,978-0393652369,6
3288,Management Challenges for the 21st Century,Peter F. Drucker,Harper Business,1999    ,Economics and Business,978-0060933517,5
3289,La societé de consommation,Jean Baudrillard,Gallimard / Sage,1970    ,Economics and Business,978-2070327744,5
3290,Human resource management,Greg L. Stewart,Pearson / McGraw-Hill,2008    ,Economics and Business,978-1119492665,11
3291,The Startup Owners Manual,Steve Blank and Bob Dorf,K & S Ranch,2012    ,Economics and Business,978-1119690726,9
3292,Essentials of agricultural economics,A. J. Adegeye,Pearson / Prentice Hall,1982    ,Economics and Business,978-9783141124,17
3293,Joshua Weissman,Joshua Weissman,Alpha (Penguin Random House),2021    ,Economics and Business,978-1615649983,12
3294,Business Analysis For Dummies,Paul Mulvey,For Dummies (Wiley),2013    ,Economics and Business,978-1118510582,20
3295,Come into my trading room,Alexander Elder,Wiley,2002    ,Economics and Business,978-0471225348,10
3296,The trusted advisor,David H. Maister,Free Press,2001    ,Economics and Business,978-0743212342,18
3297,Bitcoin and cryptocurrency technologies,Arvind Narayanan,Princeton University Press,2016    ,Economics and Business,978-0691171692,13
3298,The End of Average,Todd Rose,HarperOne,2016    ,Economics and Business,978-0062358363,4
3299,Creative Selection,Ken Kocienda,St. Martin's Press,2018    ,Economics and Business,978-1250194466,13
3300,Becoming Steve Jobs,Brent Schlender,Crown Business,2015    ,Economics and Business,978-0385347426,12
3301,Principles of Business for CSEC,Peter Stimpson,Cambridge University Press,2014    ,Economics and Business,978-1408511466,12
3302,Pengantar ekonomi pertanian,Mubyarto.,LP3ES,1973    ,Economics and Business,978-9794210017,13
3303,Shattered Silk,Barbara Michaels,HarperCollins,1602    ,Economics and Business,978-0061000486,12
3304,"Ready, Fire, Aim",Michael Masterson,John Wiley & Sons,2007    ,Economics and Business,978-0470182024,6
3305,Clever Girl Finance,Bola Sokunbi,John Wiley & Sons,2019    ,Economics and Business,978-1119512530,6
3306,Some are smarter than others,Ricardo Manapat,Aletheia Publications,1991    ,Economics and Business,978-9718626009,18
3307,Principles of estate management,Michael Thorncroft,Estates Gazette,1965    ,Economics and Business,978-0728200845,13
3308,Lost girls,Robert Kolker,Harper Perennial,2013    ,Economics and Business,978-0062183651,12
3309,New venture creation,Jeffry A. Timmons,McGraw-Hill Education,1977    ,Economics and Business,978-0073381558,9
3310,The design of experiments,Ronald Aylmer Fisher,Oliver and Boyd,1935    ,Economics and Business,978-0050011409,6
3311,Doughnut Economics,Kate Raworth,Chelsea Green Publishing,2017    ,Economics and Business,978-1847941398,1
3312,"A monetary history of the United States, 1867-1960",Milton Friedman,Princeton University Press,1963    ,Economics and Business,978-0691003542,20
3313,Wooden on Leadership,John Wooden,McGraw-Hill Education,2005    ,Economics and Business,978-0071453394,20
3314,Outwitting the Devil,Napoleon Hill,Sterling Ethos,2011    ,Economics and Business,978-1454900672,20
3315,How to become CEO,Jeffrey J. Fox,Hyperion,1998    ,Economics and Business,978-0786864379,16
3316,The looting machine,Tom Burgis,PublicAffairs,2015    ,Economics and Business,978-1610394390,12
3317,International marketing,Sak Onkvisit,Routledge,1989    ,Economics and Business,978-0415311328,5
3318,Applied Economics,Thomas Sowell,Basic Books,2003    ,Economics and Business,978-0465003457,20
3319,Adam's Daughter,Jean S. MacLeod,Mills & Boon,1973    ,Economics and Business,978-0373010486,6
3320,Nice girls don't get the corner office,Lois P. Frankel,Business Plus,2014    ,Economics and Business,978-1455546046,1
3321,Contacts,Jean-Paul Valette,Cengage Learning,1976    ,Economics and Business,978-1133309581,4
3322,"The slave power: its character, career, & probable designs: being an attempt to explain the real issues involved in the American contest",John Elliott Cairnes,"Parker, Son, and Bourn",1862    ,Economics and Business,978-1108023306,18
3323,Managing Change,Bernard Burnes,Pearson Education,1992    ,Economics and Business,978-1292148663,16
3324,Get your sh*t together,"Knight, Sarah (Freelance editor)","Little, Brown Spark",2016    ,Economics and Business,978-0316505079,4
3325,Promises to keep,Charles Paul Conn,Berkley,1985    ,Economics and Business,978-0425039281,11
3326,The economy of cities,Jane Jacobs,Vintage,1969    ,Economics and Business,978-0394705842,18
3327,Women and economics,Charlotte Perkins Gilman,"Small, Maynard & Co",1898    ,Economics and Business,978-0486400419,14
3328,Theorien über den Mehrwert,Karl Marx,Dietz Verlag,1905    ,Economics and Business,978-3320000455,5
3329,The servile state / by Hilaire Belloc,Hilaire Belloc,T.N. Foulis,1912    ,Economics and Business,978-1602068698,6
3330,Essentials of managerial finance,J. Fred Weston,Dryden Press,1968    ,Economics and Business,978-0030132148,2
3331,Democracy,Hans-Hermann Hoppe,Transaction Publishers,2001    ,Economics and Business,978-0765808684,20
3332,Engineering economy,E. Paul DeGarmo,Prentice Hall,1960    ,Economics and Business,978-0130219213,18
3333,The I Hate to Housekeep Book,Peg Bracken,"Harcourt, Brace & World",1962    ,Economics and Business,978-0151441310,16
3334,Global political economy,Robert O'Brien,Red Globe Press,2004    ,Economics and Business,978-1137454430,17
3335,Lectures on the Industrial Revolution of the 18th Century in        England,Arnold Toynbee,Rivingtons,1884    ,Economics and Business,978-1108020473,14
3336,Technology for Success,Jennifer Campbell,Cengage Learning,2019    ,Economics and Business,978-0357124116,5
3337,The Management and Control of Quality,James R. Evans,Cengage Learning,2004    ,Economics and Business,978-1305252240,16
3338,Letters from a farmer in Pennsylvania,John Dickinson,Outlook,1768    ,Economics and Business,978-1511943505,16
3339,The Fortune at the Bottom of the Pyramid,C. K. Prahalad,Wharton School Publishing,2004    ,Economics and Business,978-0137026524,20
3340,NRAEF ManageFirst,NRA National Restaurant Assoc. Educational Foundation,Prentice Hall,2006    ,Economics and Business,978-0134481548,10
3341,Globalization and its discontents,Joseph E. Stiglitz,W. W. Norton & Co,2002    ,Economics and Business,978-0393324396,15
3342,Brand leadership,David A. Aaker,Free Press,2000    ,Economics and Business,978-0684839240,12
3343,Millennium Development Library,U. N. Millennium Project,Earthscan,2012    ,Economics and Business,978-1844072316,10
3344,Conscious capitalism,John Mackey,Harvard Business Review,2013    ,Economics and Business,978-1422144206,12
3345,Risk management and insurance,C. Arthur Williams,McGraw-Hill,1964    ,Economics and Business,978-0070705845,20
3346,International Political Economy,Thomas Oatley,Routledge,2007    ,Economics and Business,978-1138490741,13
3347,Perfect Partners,Jayne Ann Krentz,Pocket Books,1992    ,Economics and Business,978-0373054114,20
3348,E-Myth Mastery,Michael E. Gerber,Harper Business,2004    ,Economics and Business,978-0060723231,18
3349,More important than money,Robert T. Kiyosaki,Plata Publishing,2017    ,Economics and Business,978-1612680965,16
3350,Information systems,John G. Burch,John Wiley & Sons,1975    ,Economics and Business,978-0471120001,5
3351,Direct social work practice,Dean H. Hepworth,Cengage Learning,1982    ,Economics and Business,978-1305633803,11
3352,Start up,William J. Stolze,Career Press,1989    ,Economics and Business,978-1564143716,10
3353,I wonder why the sea is salty and other questions about the ocean,Anita Ganeri,Kingfisher,1994    ,Economics and Business,978-0753450314,19
3354,Basic statistics for business and economics,Douglas A. Lind,McGraw-Hill Education,1993    ,Economics and Business,978-1260187502,15
3355,Ten acres enough,"Morris, Edmund",Applewood Books,1864    ,Economics and Business,978-1429013581,13
3356,The strategy of conflict,Thomas C. Schelling,Harvard University Press,1960    ,Economics and Business,978-0674840317,3
3357,Real estate finance & investments,Peter Linneman,Linneman Associates,2004    ,Economics and Business,978-0974452845,3
3358,Masquerade,Janet Dailey,"Little, Brown and Company",1990    ,Economics and Business,978-0316170949,9
3359,Principles of customer relationship management,Roger J. Baran,Routledge,2007    ,Economics and Business,978-0324398335,15
3360,Our Iceberg Is Melting,John Kotter,Portfolio,2006    ,Economics and Business,978-0312361983,7
3361,The Minimalist Entrepreneur,Sahil Lavingia,Portfolio,2021    ,Economics and Business,978-0593192269,12
3362,Your Office,Amy S. Kinser,Pearson,2012    ,Economics and Business,978-0134479460,5
3363,Rafaela,Không rõ,Ediciones SM,1993    ,Economics and Business,978-9871071234,8
3364,Only yesterday,Frederick Lewis Allen,Harper & Brothers,1931    ,Economics and Business,978-0060934149,2
3365,Modern management,Samuel C. Certo,Pearson,1992    ,Economics and Business,978-0134729114,18
3366,International infrastructure management manual,Không rõ,IPWEA,2006    ,Economics and Business,978-0473106850,11
3367,Way of the Turtle,Curtis Faith,McGraw-Hill Education,2007    ,Economics and Business,978-0071486644,20
3368,Mao's great famine,Frank Dikötter,Walker & Company,2010    ,Economics and Business,978-0802777683,20
3369,Thirty-Second Jewel,Constance Brown,John Wiley & Sons,2019    ,Economics and Business,978-0471415053,12
3370,Team Topologies,Matthew Skelton,IT Revolution Press,2019    ,Economics and Business,978-1942788812,10
3371,Principles of political economy and taxation,David Ricardo,John Murray,1817    ,Economics and Business,978-0486434612,20
3372,The Achieving Society,David C. McClelland,Van Nostrand,1961    ,Economics and Business,978-1258169138,19
3373,Marketing communications,Chris Fill,Pearson Education,1995    ,Economics and Business,978-1292092614,4
3374,In the plex,Steven Levy,Simon & Schuster,2011    ,Economics and Business,978-1416596592,5
3375,The Fast Forward MBA in Project Management,Eric Verzuh,John Wiley & Sons,2005    ,Economics and Business,978-1119086574,19
3376,Tax policy,United States. General Accounting Office,GAO,1986    ,Economics and Business,978-1428935402,13
3377,The world economy,Beth V. Yarbrough,Harcourt College,1988    ,Economics and Business,978-0030206146,8
3378,Five families,Oscar Lewis,Basic Books,1900    ,Economics and Business,978-0465023912,5
3379,Ecotourism,David A. Fennell,Routledge,2002    ,Economics and Business,978-0415714396,3
3380,Business Grammar and Practice (Oxford Business English),Michael Duckworth,Oxford University Press,2003    ,Economics and Business,978-0194570794,9
3381,Secrets of Sand Hill Road,Scott Kupor,Portfolio,2019    ,Economics and Business,978-0525540434,5
3382,The Book on Investing in Real Estate with No (and Low) Money Down: Real Life Strategies for Investing in Real Estate Using Other People's Money,Brandon Turner,BiggerPockets,2014    ,Economics and Business,978-0990711529,15
3383,The fatal equilibrium,Marshall Jevons,MIT Press,1985    ,Economics and Business,978-0345331588,15
3384,How Big Brands Grow What Marketers Dont Know,Byron Sharp,Oxford University Press,2010    ,Economics and Business,978-0195573565,4
3385,Automating Inequality,Virginia Eubanks,St. Martin's Press,2018    ,Economics and Business,978-1250074317,10
3386,Shang ye jing ji shi shou ce,Không rõ,Clarion Books,1986    ,Economics and Business,nan,9
3387,"Owen Foote, Money Man",Stephanie Greene,Broadway Business,2000    ,Economics and Business,978-0395981368,15
3388,"Start Late, Finish Rich",David Bach,The Century Co.,2005    ,Economics and Business,978-0767919463,15
3389,Political Ideals,Bertrand Russell,Cambridge University Press,1917    ,Economics and Business,978-1108035545,19
3390,International Law,Jan Klabbers,Oxford & IBH,2013    ,Economics and Business,978-1107612846,12
3391,Agricultural finance and management,S. Subba Reddy,Penguin Books,1996    ,Economics and Business,978-8120412149,14
3392,Here comes everybody,Clay Shirky,Palgrave Macmillan,2008    ,Economics and Business,978-0143114949,15
3393,Globalization,Jan Aart Scholte,Bibliographical Society,2000    ,Economics and Business,978-0312236427,20
3394,"A short-title catalogue of books printed in England, Scotland, and Ireland and of English books printed abroad",A. W. Pollard,Armand Colin,1926    ,Economics and Business,978-0197217900,17
3395,"Civilisation matérielle, économie et capitalisme",Fernand Braudel,Berrett-Koehler,1900    ,Economics and Business,978-2253064558,7
3396,The outward mindset,The Arbinger Institute,Harper Paperbacks,2016    ,Economics and Business,978-1626567153,2
3397,"Blood, sweat, and pixels",Jason Schreier,Oxford University Press,2017    ,Economics and Business,978-0062651235,20
3398,Environmental Economics,Rabindra N. Bhattacharya,Independent,2001    ,Economics and Business,978-0195655568,14
